#,Name,Start,End,Length,Color
M1,start,22.3.00,,,
M2,X um (missed everything up to here),64.1.00,,,FFFF66
M3,X um,76.3.00,,,FFFF66
M4,X um,80.3.00,,,FFFF66
M5,X um,92.3.00,,,FFFF66
M6,X um,106.3.00,,,FFFF66
M7,X um,112.1.00,,,FFFF66
M8,X um,126.3.00,,,FFFF66
M9,X um,130.3.00,,,FFFF66
M10,X um,139.1.00,,,FFFF66
M11,X um,140.1.00,,,FFFF66
M12,X um,152.3.00,,,FFFF66
M13,X um,153.3.00,,,FFFF66
M14,X um,164.1.00,,,FFFF66
M15,X um,166.1.00,,,FFFF66
M16,X um,172.1.00,,,FFFF66
M17,< come on about,175.1.00,,,FC66FF
M18,X um,178.3.00,,,FFFF66
M19,< unit,206.1.00,,,FC66FF
M20,< the,216.1.00,,,FC66FF
M21,X um,217.3.00,,,FFFF66
M22,! ability to bring patients back,247.1.00,,,00A098
M23,! cat meow,254.1.00,,,00A098
M24,X um -5,270.3.00,,,FFFF66
M25,! cat,297.1.00,,,00A098
M26,X um,302.1.00,,,FFFF66
M27,! this is what ED used to do,311.1.00,,,00A098
M28,X um,330.3.00,,,FFFF66
M29,? paracetemol overdose paper,337.3.00,,,6666FF
M30,X um,343.3.00,,,FFFF66
M31,"! 21 hour infusion, that's a long time",347.3.00,,,00A098
M32,! challenges with pediatric implementation of SNAP,391.1.00,,,00A098
M33,X um,397.1.00,,,FFFF66
M34,X um,401.1.00,,,FFFF66
M35,< we can be spent,407.3.00,,,FC66FF
M36,X um,413.1.00,,,FFFF66
M37,X um,422.3.00,,,FFFF66
M38,! sarah said wow,485.1.00,,,00A098
M39,X um,520.3.00,,,FFFF66
M40,? older adults and length of stag,537.3.00,,,6666FF
M41,X um,549.3.00,,,FFFF66
M42,X um,551.1.00,,,FFFF66
M43,< retake logistic regression models,571.3.00,,,FC66FF
M44,X um,610.3.00,,,FFFF66
M45,< confounders,611.1.00,,,FC66FF
M46,< were the most,634.3.00,,,FC66FF
M47,? something unexpected - silicon gel / best BET,717.1.00,,,6666FF
M48,X um,734.3.00,,,FFFF66
M49,! cat,744.1.00,,,00A098
M50,! cut on his face,762.1.00,,,00A098
M51,! cut is there with you for years afterwards,773.1.00,,,00A098
M52,X um,806.3.00,,,FFFF66
M53,! significant improvement in appearance,812.1.00,,,00A098
M54,< post traumatic,821.1.00,,,FC66FF
M55,X um,828.1.00,,,FFFF66
M56,! important that we're kind to people about face-related treatments,847.3.00,,,00A098
M57,< love to hear your feedback,890.1.00,,,FC66FF
M58,< retake on the goodbye,897.1.00,,,FC66FF
